Fecha;Codigo;Nombre;Categoria;Ventas 
28/01/2024;92;Tapabocas quirurgico;Salud;9
28/01/2024;91;Bolsa de esponja;Salud;7
28/01/2024;23;Mesa de manipulacion;Educacion;9
28/01/2024;6;Jugo;Alimentacion;7
28/01/2024;55;Repetidor de Red Wifi;Hogar;10
28/01/2024;14;Zanahorias;Alimentacion;2
28/01/2024;85;Tijeras quirurgicas;Salud;6
28/01/2024;72;Cami acolchado en fibra sintetica y algodon;Vestimenta;3
28/01/2024;60;Dispositivos Amazon;Hogar;5
28/01/2024;28;Sobre para proteger cosas pequeñas;Educacion;5
28/01/2024;22;Resorte flexifilo;Educacion;7
28/01/2024;24;Fondo de colores para bolsa;Educacion;10
28/01/2024;14;Zanahorias;Alimentacion;9
28/01/2024;28;Sobre para proteger cosas pequeñas;Educacion;2
28/01/2024;72;Cami acolchado en fibra sintetica y algodon;Vestimenta;2
28/01/2024;94;Bota de piel de cordero;Salud;6
28/01/2024;38;Set de accesorios para bolsa;Educacion;8
28/01/2024;55;Repetidor de Red Wifi;Hogar;10
28/01/2024;97;Colirios;Salud;1
28/01/2024;26;Escobilla de acero inoxidable;Educacion;4
28/01/2024;35;Tiras adhesivas para coser;Educacion;10
28/01/2024;73;Chaqueta acolchada en gabardina;Vestimenta;4
28/01/2024;26;Escobilla de acero inoxidable;Educacion;9
28/01/2024;82;Bisturi;Salud;8
28/01/2024;87;Aguja de hilo dental;Salud;10
28/01/2024;66;Camisa blanca en algodon y seda;Vestimenta;4
28/01/2024;20;Mermelada;Alimentacion;8
28/01/2024;36;Kit de reposteria basica;Educacion;6
28/01/2024;35;Tiras adhesivas para coser;Educacion;4
28/01/2024;11;Aceite;Alimentacion;7
28/01/2024;86;Tenacillas de pellizcar;Salud;10
28/01/2024;81;Pinzas dentales;Salud;5
28/01/2024;16;Ensalada;Alimentacion;7
28/01/2024;4;Galletas;Alimentacion;8
28/01/2024;33;Paleta para colorear;Educacion;5
28/01/2024;93;Guantes esteriles;Salud;5
28/01/2024;54;Vaporizador de leche electrico;Hogar;10
28/01/2024;39;Bolsa para zapatos;Educacion;5
28/01/2024;79;Zapatillas casuales en tela sintetica;Vestimenta;7
28/01/2024;32;Panel de aluminio para cubierta;Educacion;4
28/01/2024;29;Marcador;Educacion;2
28/01/2024;17;Tomates;Alimentacion;4
28/01/2024;27;Bolsa de plastico;Educacion;7
28/01/2024;13;Pollo;Alimentacion;1
28/01/2024;94;Bota de piel de cordero;Salud;1
28/01/2024;5;Cerveza;Alimentacion;4
28/01/2024;98;Agujero de alfiler;Salud;8
28/01/2024;80;Zapatos de vestir en cuero y acero;Vestimenta;7
28/01/2024;1;Mani;Alimentacion;4
28/01/2024;16;Ensalada;Alimentacion;5
28/01/2024;62;Chaleco ejecutivo en seda;Vestimenta;2
28/01/2024;73;Chaqueta acolchada en gabardina;Vestimenta;1
28/01/2024;14;Zanahorias;Alimentacion;9
28/01/2024;87;Aguja de hilo dental;Salud;9
28/01/2024;63;Blazer ejecutivo en gabardina o algodon mezclado;Vestimenta;4
28/01/2024;27;Bolsa de plastico;Educacion;8
28/01/2024;49;Dispositivos de ahorro de energia;Hogar;1
28/01/2024;72;Cami acolchado en fibra sintetica y algodon;Vestimenta;4
28/01/2024;3;Queso;Alimentacion;7
28/01/2024;8;Sopa de Tomate;Alimentacion;7
28/01/2024;82;Bisturi;Salud;3
28/01/2024;81;Pinzas dentales;Salud;8
28/01/2024;89;Vaso de Kidd;Salud;9
28/01/2024;18;Fideos;Alimentacion;1
28/01/2024;50;Productos de depilacion;Hogar;4
28/01/2024;62;Chaleco ejecutivo en seda;Vestimenta;1
